State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,NIZAMABAD,Banana,2002-03,Whole Year,405,Hectare,9884,Tonnes,24.40493827
Andhra Pradesh,NIZAMABAD,Banana,2003-04,Whole Year,360,Hectare,5041,Tonnes,14.00277778
Andhra Pradesh,PRAKASAM,Banana,2001-02,Whole Year,511,Hectare,8370,Tonnes,16.37964775
Andhra Pradesh,PRAKASAM,Banana,2002-03,Whole Year,538,Hectare,10429,Tonnes,19.38475836
Andhra Pradesh,PRAKASAM,Banana,2003-04,Whole Year,82,Hectare,794,Tonnes,9.682926829
Andhra Pradesh,RANGAREDDI,Banana,2001-02,Whole Year,249,Hectare,3533,Tonnes,14.18875502
Andhra Pradesh,RANGAREDDI,Banana,2002-03,Whole Year,204,Hectare,4978,Tonnes,24.40196078
Andhra Pradesh,RANGAREDDI,Banana,2003-04,Whole Year,86,Hectare,1204,Tonnes,14
Andhra Pradesh,SPSR NELLORE,Banana,2001-02,Whole Year,479,Hectare,8030,Tonnes,16.76409186
Andhra Pradesh,SPSR NELLORE,Banana,2002-03,Whole Year,521,Hectare,10099,Tonnes,19.38387716
Andhra Pradesh,SPSR NELLORE,Banana,2003-04,Whole Year,485,Hectare,4699,Tonnes,9.688659794
Andhra Pradesh,SRIKAKULAM,Banana,2001-02,Whole Year,1132,Hectare,14223,Tonnes,12.56448763
Andhra Pradesh,SRIKAKULAM,Banana,2002-03,Whole Year,765,Hectare,14829,Tonnes,19.38431373
Andhra Pradesh,SRIKAKULAM,Banana,2003-04,Whole Year,535,Hectare,3003,Tonnes,5.613084112
Andhra Pradesh,VISAKHAPATANAM,Banana,2001-02,Whole Year,2431,Hectare,18798,Tonnes,7.732620321
Andhra Pradesh,VISAKHAPATANAM,Banana,2002-03,Whole Year,1594,Hectare,27219,Tonnes,17.07590966
Andhra Pradesh,VISAKHAPATANAM,Banana,2003-04,Whole Year,1452,Hectare,17908,Tonnes,12.33333333
Andhra Pradesh,VIZIANAGARAM,Banana,2001-02,Whole Year,6173,Hectare,77495,Tonnes,12.5538636
